schema_version	harness_commit	epoch	judged_at_utc	commit	scope	board	workload_class	outcome	judged_r	ci_low	ci_high	prove_ms	native_mhz	peak_rss_mib	waits	dispatches	energy_j	gates	holdout	submission_id	predecessor	supersedes
2	76d11f22730e	1	2026-07-21T07:07:59Z	fd3b4f6814c2b371fc478c16ddb26ae64a2cee7d	s3	core_metal	wide	promoted	0.920861	0.891588	0.942822	11.329125	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-linear-transcript-tail	f52e3a791dd7		claimed
2	a9faa70efc0d	1	2026-07-21T07:07:59Z	016ced5f6468c59fa0eae211d5e71b93dde71972	s3	core_metal	deep	rejected	0.957329	0.942763	0.970711	7.548959	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-merkle-tail-arena	564cea426cf4		claimed
2	a9faa70efc0d	1	2026-07-21T07:07:59Z	016ced5f6468c59fa0eae211d5e71b93dde71972	s3	core_metal	small	promoted	0.953650	0.940186	0.966647	2.566500	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-merkle-tail-arena	564cea426cf4		claimed
2	a9faa70efc0d	1	2026-07-21T07:07:59Z	016ced5f6468c59fa0eae211d5e71b93dde71972	s3	core_metal	wide	rejected	0.969832	0.948094	0.988100	12.753708	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-merkle-tail-arena	564cea426cf4		claimed
2	35a0e0cfc689	1	2026-07-21T07:07:59Z	850598e59d9aca016c0da1d63c3852f8a7eabd46	s3	core_metal	deep	rejected	1.001341	0.982808	1.023523	7.300000	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-multiblock-merkle-tail	6c622c60297d		claimed
2	35a0e0cfc689	1	2026-07-21T07:07:59Z	850598e59d9aca016c0da1d63c3852f8a7eabd46	s3	core_metal	small	rejected	1.002021	0.955048	1.042966	2.423750	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-multiblock-merkle-tail	6c622c60297d		claimed
2	35a0e0cfc689	1	2026-07-21T07:07:59Z	850598e59d9aca016c0da1d63c3852f8a7eabd46	s3	core_metal	wide	rejected	0.997721	0.981143	1.018588	12.125417	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-fri-multiblock-merkle-tail	6c622c60297d		claimed
2	9cd4618522e8	1	2026-07-21T07:07:59Z	58eefe30f62baa19f9e962d16d95584412fcb2a9	s3	core_metal	deep	rejected	0.993619	0.963527	1.004381	7.197000	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-multiblock	35819ff7920d		claimed
2	9cd4618522e8	1	2026-07-21T07:07:59Z	58eefe30f62baa19f9e962d16d95584412fcb2a9	s3	core_metal	small	rejected	0.956191	0.918741	0.994221	2.405750	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-multiblock	35819ff7920d		claimed
2	9cd4618522e8	1	2026-07-21T07:07:59Z	58eefe30f62baa19f9e962d16d95584412fcb2a9	s3	core_metal	wide	rejected	0.997012	0.972617	1.027912	12.331125	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-multiblock	35819ff7920d		claimed
2	7d32a7a3364b	1	2026-07-21T07:07:59Z	755146a5d1585201fe7cbf343d0486c9d812e8c4	s3	core_metal	deep	rejected	0.983472	0.968410	0.999115	7.452625	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-tail-arena	f81b2cc64f7f		claimed
2	7d32a7a3364b	1	2026-07-21T07:07:59Z	755146a5d1585201fe7cbf343d0486c9d812e8c4	s3	core_metal	small	rejected	1.016497	0.965424	1.072770	2.526042	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-tail-arena	f81b2cc64f7f		claimed
2	7d32a7a3364b	1	2026-07-21T07:07:59Z	755146a5d1585201fe7cbf343d0486c9d812e8c4	s3	core_metal	wide	rejected	0.986563	0.954659	1.003492	12.607458	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-generic-merkle-tail-arena	f81b2cc64f7f		claimed
2	1d8462e1dcc8	1	2026-07-21T07:07:59Z	b9b19532efc37cbdb26226d4013232d45b3a29cd	s3	core_metal	deep	promoted	0.875375	0.867301	0.882483	5.604500	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-linear-quotient-domain-walk	fcb324e4077c		claimed
2	1d8462e1dcc8	1	2026-07-21T07:07:59Z	b9b19532efc37cbdb26226d4013232d45b3a29cd	s3	core_metal	small	rejected	0.987012	0.960011	1.018376	2.401000	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-linear-quotient-domain-walk	fcb324e4077c		claimed
2	1d8462e1dcc8	1	2026-07-21T07:07:59Z	b9b19532efc37cbdb26226d4013232d45b3a29cd	s3	core_metal	wide	promoted	0.852536	0.842975	0.877873	10.031959	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-linear-quotient-domain-walk	fcb324e4077c		claimed
2	9d43757fa9c2	1	2026-07-21T07:07:59Z	95d5646555f4518093f0e48bf6ace310cad04c80	s3	core_metal	deep	promoted	0.950825	0.940786	0.963089	5.264875	0.000000	0.000000				G1..G5:pass	none	2026-07-21-metal-resident-quotient-domain-cache	483275c35d73		claimed
